Date,YR,MN,DY,START ,STOP,STATUS,JDAY,TEMP,TEMPC,DENSITY,LOBSTER,SEX,CL,PL,PLC,PLC2,PL2,INC,INT,NINT,VAR,I
22/1/1996,96,1,22,193,387,1,387,30,2,0,10,1,75,65.1,18.3,336.4462057,4238.01,9.9,194,194,14.51373288,0.386597938
22/3/1996,96,3,22,387,447,1,447,27,-1,0,10,1,82.5,75,28.2,797.6371117,5625,7.5,60,60,19.26369863,1.375
13/3/1995,95,3,13,24,72,1,72,28,0,4,11,2,49,41.9,-4.9,23.5955977,1755.61,7.1,43,48,6.012363014,1.139534884
6/5/1995,95,5,6,73,126,1,126,28,0,4,11a,2,40.1,35,-11.8,138.2395117,1225,5.1,53,53,4.195205479,0.756603774
22/8/1995,95,8,22,126,234,1,234,28,0,4,11a,2,51.6,40.1,-6.7,44.3227057,1608.01,11.5,108,108,5.506883562,0.477777778
21/12/1995,95,12,21,234,355,1,355,28,0,6,11a,2,63.4,51.6,4.8,23.4495157,2662.56,11.8,121,121,9.118356164,0.523966942
30/6/1995,95,6,30,24,181,1,181,26,-2,4,12,1,59.8,53.9,7.1,51.0148777,2905.21,5.9,93,157,9.949349315,0.643010753
16/10/1995,95,10,16,181,289,1,289,26,-2,9,12,1,66.1,59.8,13,170.1060237,3576.04,6.3,108,108,12.24671233,0.612037037
30/3/1995,95,3,30,24,89,1,89,30,2,2,13,2,26.9,20,-26.8,715.9654117,400,6.9,56,65,1.369863014,0.480357143
26/4/1995,95,4,26,89,116,1,116,30,2,2,13,2,33,26.9,-19.9,394.3214977,723.61,6.1,27,27,2.478116438,1.222222222
7/7/1995,95,7,7,116,188,1,188,30,2,2,13,2,43.5,33,-13.8,189.2696317,1089,10.5,72,72,3.729452055,0.604166667
26/10/1995,95,10,26,188,299,1,299,30,2,8,13,2,55.8,43.5,-3.3,10.6115017,1892.25,12.3,111,111,6.480308219,0.502702703
18/12/1995,95,12,18,299,352,1,352,30,2,7,13,2,60.7,55.8,9,81.7662637,3113.64,4.9,53,53,10.66315068,1.145283019
9/5/1995,95,5,9,24,129,1,129,26,-2,4,14,1,50.6,45.3,-1.5,2.124393701,2052.09,5.3,73,105,7.027705479,0.693150685
4/8/1995,95,8,4,129,216,1,216,26,-2,4,14,1,58.3,50.6,3.8,14.7645757,2560.36,7.7,87,87,8.768356164,0.670114943
23/3/1995,95,3,23,24,82,1,82,26,-2,2,15,1,34.4,30,-16.8,280.8148117,900,4.4,28,58,3.082191781,1.228571429
17/5/1995,95,5,17,82,137,1,137,26,-2,2,15,1,40.3,34.4,-12.4,152.7085477,1183.36,5.9,55,55,4.05260274,0.732727273
13/8/1995,95,8,13,137,225,1,225,26,-2,2,15,1,46.2,40.3,-6.5,41.6996937,1624.09,5.9,88,88,5.561952055,0.525
27/2/1995,95,2,27,24,58,1,58,26,-2,4,16,1,26.6,22.7,-24.1,578.7647497,515.29,3.9,34,34,1.764691781,0.782352941
28/4/1995,95,4,28,58,118,1,118,26,-2,4,16,1,36.6,26.6,-20.2,406.3260157,707.56,10,60,60,2.423150685,0.61
8/6/1995,95,6,8,118,159,1,159,26,-2,4,16,1,43.2,36.6,-10.2,103.1754157,1339.56,6.6,41,41,4.587534247,1.053658537
2/8/1995,95,8,2,159,214,1,214,26,-2,4,16,1,50,43.2,-3.6,12.6560197,1866.24,6.8,55,55,6.391232877,0.909090909
8/10/1995,95,10,8,214,281,1,281,26,-2,9,16,1,56.6,50,3.2,10.5136117,2500,6.6,67,67,8.561643836,0.844776119
13/12/1995,95,12,13,281,347,1,347,26,-2,8,16,1,63.5,56.6,9.8,96.8742157,3203.56,6.9,66,66,10.97109589,0.962121212
18/2/1995,95,2,18,24,49,1,49,30,2,2,17,2,33,27.6,-19.2,367.0109557,761.76,5.4,23,25,2.608767123,1.434782609
29/3/1995,95,3,29,49,88,1,88,30,2,2,17,2,38.1,33,-13.8,189.2696317,1089,5.1,39,39,3.729452055,0.976923077
8/5/1995,95,5,8,88,128,1,128,30,2,2,17,2,43.6,38.1,-8.7,74.9528257,1451.61,5.5,40,40,4.971267123,1.09
10/6/1995,95,6,10,128,161,1,161,30,2,2,17,2,51.5,43.6,-3.2,9.969995701,1900.96,7.9,33,33,6.510136986,1.560606061
6/8/1995,95,8,6,161,218,1,218,30,2,2,17,2,61.5,51.5,4.7,22.4910217,2652.25,10,57,57,9.083047945,1.078947368
30/10/1995,95,10,30,218,303,1,303,30,2,8,17,2,70.7,61.5,14.7,217.3404217,3782.25,9.2,85,85,12.95291096,0.831764706
11/1/1996,96,1,11,303,376,1,376,30,2,7,17,2,77.3,70.7,23.9,573.2418697,4998.49,6.6,73,73,17.11811644,1.05890411
26/2/1995,95,2,26,24,57,1,57,26,-2,4,18,1,36,29.7,-17.1,290.9593297,882.09,6.3,27,33,3.020856164,1.333333333
29/4/1995,95,4,29,57,119,1,119,26,-2,4,18,1,42.8,36,-10.8,115.7244517,1296,6.8,62,62,4.438356164,0.690322581
24/7/1995,95,7,24,119,205,1,205,26,-2,4,18,1,48.2,42.8,-4,15.6620437,1831.84,5.4,86,86,6.273424658,0.560465116
6/10/1995,95,10,6,205,279,1,279,26,-2,9,18,1,54.4,48.2,1.4,2.080719701,2323.24,6.2,74,74,7.95630137,0.735135135
3/3/1995,95,3,3,24,62,1,62,28,0,2,19,2,39.6,34.4,-12.4,152.7085477,1183.36,5.2,27,38,4.05260274,1.466666667
22/4/1995,95,4,22,62,112,1,112,28,0,2,19,2,47.2,39.6,-7.2,51.2302357,1568.16,7.6,50,50,5.370410959,0.944
9/7/1995,95,7,9,112,190,1,190,28,0,2,19,2,54.2,47.2,0.4,0.195779701,2227.84,7,78,78,7.629589041,0.694871795
11/10/1995,95,10,11,190,284,1,284,28,0,10,19,2,67,54.2,7.4,55.3903597,2937.64,12.8,94,94,10.06041096,0.712765957
26/11/1995,95,11,26,284,330,1,330,28,0,9,19,2,70.4,67,20.2,409.7575917,4489,3.4,46,46,15.37328767,1.530434783
28/2/1995,95,2,28,24,59,1,59,28,0,2,20,1,25.1,22.6,-24.2,583.5862557,510.76,2.5,28,35,1.749178082,0.896428571
29/3/1995,95,3,29,59,88,1,88,28,0,2,20,1,32,25.1,-21.7,469.0486057,630.01,6.9,29,29,2.157568493,1.103448276
27/4/1995,95,4,27,88,117,1,117,28,0,2,20,1,36,32,-14.8,217.7846917,1024,4,29,29,3.506849315,1.24137931
13/6/1995,95,6,13,117,164,1,164,28,0,2,20,1,40,36,-10.8,115.7244517,1296,4,47,47,4.438356164,0.85106383
12/3/1995,95,3,12,24,71,1,71,30,2,2,21,2,32.5,28.9,-17.9,318.8913777,835.21,3.6,34,47,2.860308219,0.955882353
28/4/1995,95,4,28,71,118,1,118,30,2,2,21,2,37,32.5,-14.3,203.2771617,1056.25,4.5,47,47,3.617294521,0.787234043
2/6/1995,95,6,2,118,153,1,153,30,2,2,21,2,43,37,-9.8,95.2093917,1369,6,35,35,4.688356164,1.228571429
31/7/1995,95,7,31,153,212,1,212,30,2,2,21,2,50.2,43,-3.8,14.1190317,1849,7.2,59,59,6.332191781,0.850847458
15/4/1995,95,4,15,24,105,1,105,30,2,2,22,1,40.8,36.3,-10.5,109.3599337,1317.69,4.5,67,81,4.512636986,0.608955224
24/5/1995,95,5,24,105,144,1,144,30,2,2,22,1,46.7,40.8,-6,35.4921637,1664.64,5.9,39,39,5.700821918,1.197435897
18/7/1995,95,7,18,144,199,1,199,30,2,2,22,1,54.4,46.7,-0.1,0.003309701,2180.89,7.7,55,55,7.46880137,0.989090909
2/11/1995,95,11,2,199,306,1,306,30,2,8,22,1,60.1,54.4,7.6,58.4073477,2959.36,5.7,107,107,10.13479452,0.561682243
24/2/1995,95,2,24,24,55,1,55,30,2,4,23,1,23.4,21,-25.8,663.4503517,441,2.4,31,31,1.510273973,0.75483871
24/4/1995,95,4,24,24,114,1,114,30,2,4,24,2,43.5,34.8,-12,142.9825237,1211.04,8.7,65,90,4.14739726,0.669230769
11/6/1995,95,6,11,114,162,1,162,30,2,4,24,2,49,43.5,-3.3,10.6115017,1892.25,5.5,48,48,6.480308219,1.020833333
31/7/1995,95,7,31,162,212,1,212,30,2,4,24,2,55,49,2.2,5.028671701,2401,6,50,50,8.22260274,1.1
18/10/1995,95,10,18,212,291,1,291,30,2,8,24,2,61.7,55,8.2,67.9383117,3025,6.7,79,79,10.35958904,0.781012658
4/4/1996,96,4,4,291,460,1,460,28,0,0,24,2,85.4,61.7,14.9,223.2774097,3806.89,23.7,169,169,13.03729452,0.505325444
8/5/1995,95,5,8,24,128,1,128,28,0,2,25,2,42.4,38.3,-8.5,71.5298137,1466.89,4.1,82,104,5.02359589,0.517073171
25/7/1995,95,7,25,128,206,1,206,28,0,2,25,2,47.6,42.4,-4.4,18.9880677,1797.76,5.2,78,78,6.156712329,0.61025641
1/3/1995,95,3,1,24,60,1,60,28,0,4,26,2,43,35.6,-11.2,124.4904757,1267.36,7.4,36,36,4.340273973,1.194444444
10/4/1995,95,4,10,60,100,1,100,28,0,4,26,2,48,43,-3.8,14.1190317,1849,5,40,40,6.332191781,1.2
19/5/1995,95,5,19,100,139,1,139,28,0,4,26,2,54,48,1.2,1.543731701,2304,6,39,39,7.890410959,1.384615385
25/7/1995,95,7,25,139,206,1,206,28,0,4,26,2,60,54,7.2,52.4533717,2916,6,67,67,9.98630137,0.895522388
5/4/1995,95,4,5,24,95,1,95,30,2,4,27,2,37.6,30.2,-16.6,274.1517997,912.04,7.4,71,71,3.123424658,0.529577465
23/5/1995,95,5,23,119,143,1,143,30,2,4,27a,2,41.6,35.5,-11.3,126.7319817,1260.25,6.1,24,24,4.315924658,1.733333333
26/6/1995,95,6,26,143,177,1,177,30,2,4,27a,2,47.7,41.6,-5.2,26.6001157,1730.56,6.1,34,34,5.926575342,1.402941176
2/8/1995,95,8,2,177,214,1,214,30,2,4,27a,2,54.5,47.7,0.9,0.888249701,2275.29,6.8,37,37,7.792089041,1.472972973
24/10/1995,95,10,24,214,297,1,297,30,2,8,27a,2,58,54.5,7.7,59.9458417,2970.25,3.5,83,83,10.17208904,0.698795181
8/1/1996,96,1,8,297,373,1,373,30,2,7,27a,2,73.2,58,11.2,126.3931317,3364,15.2,76,76,11.52054795,0.963157895
7/3/1995,95,3,7,24,66,1,66,28,0,2,28,2,27.5,24.3,-22.5,504.3406537,590.49,3.2,25,42,2.022226027,1.1
16/4/1995,95,4,16,66,106,1,106,28,0,2,28,2,31.8,27.5,-19.3,370.8524617,756.25,4.3,40,40,2.58989726,0.795
25/5/1995,95,5,25,106,145,1,145,28,0,2,28,2,36.8,31.8,-15,223.7277037,1011.24,5,39,39,3.463150685,0.943589744
23/7/1995,95,7,23,145,204,1,204,28,0,2,28,2,42.6,36.8,-10,99.1524037,1354.24,5.8,59,59,4.637808219,0.722033898
29/9/1995,95,9,29,204,272,1,272,28,0,2,28,2,48,42.6,-4.2,17.2850557,1814.76,5.4,68,68,6.214931507,0.705882353
12/7/1996,96,7,12,272,559,1,559,25,-3,0,28,2,94.4,48,1.2,1.543731701,2304,46.4,287,287,7.890410959,0.328919861
11/4/1995,95,4,11,24,101,1,101,28,0,4,29,1,39.6,23.7,-23.1,531.6496897,561.69,15.9,75,77,1.92359589,0.528
27/5/1995,95,5,27,101,147,1,147,28,0,4,29,1,45.1,39.6,-7.2,51.2302357,1568.16,5.5,46,46,5.370410959,0.980434783
27/7/1995,95,7,27,147,208,1,208,28,0,4,29,1,51.5,45.1,-1.7,2.747405701,2034.01,6.4,61,61,6.965787671,0.844262295
5/10/1995,95,10,5,208,278,1,278,28,0,10,29,1,55.4,51.5,4.7,22.4910217,2652.25,3.9,70,70,9.083047945,0.791428571
13/11/1995,95,11,13,278,317,1,317,28,0,9,29,1,60.4,55.4,8.6,74.6922877,3069.16,5,39,39,10.51082192,1.548717949
21/1/1996,96,1,21,317,386,1,386,28,0,0,29,1,70.3,60.4,13.6,186.1169877,3648.16,9.9,69,69,12.49369863,1.01884058
2/5/1995,95,5,2,24,122,1,122,28,0,4,30,2,39.5,20,-26.8,715.9654117,400,19.5,98,98,1.369863014,0.403061224
9/6/1995,95,6,9,122,160,1,160,28,0,4,30,2,46,39.5,-7.3,52.6717417,1560.25,6.5,38,38,5.343321918,1.210526316
23/7/1995,95,7,23,160,204,1,204,28,0,4,30,2,54.2,46,-0.8,0.573851701,2116,8.2,44,44,7.246575342,1.231818182
28/9/1995,95,9,28,204,271,1,271,28,0,4,30,2,62.6,54.2,7.4,55.3903597,2937.64,8.4,67,67,10.06041096,0.934328358
16/11/1995,95,11,16,271,320,1,320,28,0,9,30,2,70,62.6,15.8,250.9838557,3918.76,7.4,49,49,13.42041096,1.428571429
23/4/1995,95,4,23,24,113,1,113,30,2,4,31,2,40,25.9,-20.9,435.0365577,670.81,14.1,89,89,2.297294521,0.449438202
4/3/1995,95,3,4,24,63,1,63,28,0,4,32,1,31.5,28.3,-18.5,340.6804137,800.89,3.2,39,39,2.742773973,0.807692308
4/5/1995,95,5,4,63,124,1,124,28,0,4,32,1,47.5,31.5,-15.3,232.7922217,992.25,16,61,61,3.398116438,0.778688525
3/7/1995,95,7,3,124,184,1,184,28,0,4,32,1,54,47.5,0.7,0.551261701,2256.25,6.5,60,60,7.726883562,0.9
25/8/1995,95,8,25,184,237,1,237,28,0,4,32,1,62.5,54,7.2,52.4533717,2916,8.5,53,53,9.98630137,1.179245283
23/1/1996,96,1,23,237,388,1,388,28,0,0,32,1,73.4,62.5,15.7,247.8253617,3906.25,10.9,151,151,13.37756849,0.486092715
21/3/1996,96,3,21,388,446,1,446,25,-3,0,32,1,82,73.4,26.6,709.8212077,5387.56,8.6,58,58,18.45054795,1.413793103
22/2/1995,95,2,22,24,53,1,53,26,-2,2,33,1,30.5,25.4,-21.4,456.1440877,645.16,5.1,28,29,2.209452055,1.089285714
8/4/1995,95,4,8,53,98,1,98,26,-2,2,33,1,36,30.5,-16.3,264.3072817,930.25,5.5,45,45,3.185787671,0.8
26/5/1995,95,5,26,98,146,1,146,26,-2,2,33,1,40.8,36,-10.8,115.7244517,1296,4.8,48,48,4.438356164,0.85
9/8/1995,95,8,9,146,221,1,221,26,-2,2,33,1,47.3,40.8,-6,35.4921637,1664.64,6.5,75,75,5.700821918,0.630666667
3/4/1996,96,4,3,221,459,1,459,26,-2,0,33,1,75,47.3,0.5,0.294273701,2237.29,27.7,238,238,7.661952055,0.31512605
3/3/1995,95,3,3,24,62,1,62,26,-2,4,34,2,35.5,29.8,-17,287.5578237,888.04,5.7,38,38,3.041232877,0.934210526
15/4/1995,95,4,15,62,105,1,105,26,-2,4,34,2,41,35.5,-11.3,126.7319817,1260.25,5.5,43,43,4.315924658,0.953488372
5/6/1995,95,6,5,105,156,1,156,26,-2,4,34,2,45.8,41,-5.8,33.1491517,1681,4.8,51,51,5.756849315,0.898039216
8/8/1995,95,8,8,156,220,1,220,26,-2,4,34,2,51.1,45.8,-1,0.916863701,2097.64,5.3,64,64,7.18369863,0.7984375
2/10/1995,95,10,2,220,275,1,275,26,-2,4,34,2,58.6,51.1,4.3,18.8570457,2611.21,7.5,55,55,8.9425,1.065454545
8/4/1996,96,4,8,275,464,1,464,26,-2,0,34,2,84.2,58.6,11.8,140.2440957,3433.96,25.6,189,189,11.76013699,0.445502646
2/3/1995,95,3,2,24,61,1,61,26,-2,2,35,1,26,22.6,-24.2,583.5862557,510.76,3.4,30,37,1.749178082,0.866666667
7/4/1995,95,4,7,61,97,1,97,26,-2,2,35,1,31.5,26,-20.8,430.8750517,676,5.5,36,36,2.315068493,0.875
25/5/1995,95,5,25,97,145,1,145,26,-2,2,35,1,36.2,31.5,-15.3,232.7922217,992.25,4.7,48,48,3.398116438,0.754166667
3/8/1995,95,8,3,145,215,1,215,26,-2,2,35,1,42.2,36.2,-10.6,111.4614397,1310.44,6,70,70,4.487808219,0.602857143
4/3/1995,95,3,4,24,63,1,63,26,-2,4,36,1,30.5,25.6,-21.2,447.6410757,655.36,4.9,39,39,2.244383562,0.782051282
21/4/1995,95,4,21,63,111,1,111,26,-2,4,36,1,34.3,30.5,-16.3,264.3072817,930.25,3.8,48,48,3.185787671,0.714583333
5/6/1995,95,6,5,111,156,1,156,26,-2,4,36,1,38.6,34.3,-12.5,155.1900537,1176.49,4.3,45,45,4.029075342,0.857777778
27/7/1995,95,7,27,156,208,1,208,26,-2,4,36,1,42.2,38.6,-8.2,66.5452957,1489.96,3.6,52,52,5.10260274,0.811538462
17/9/1995,95,9,17,208,260,1,260,26,-2,4,36,1,47.4,42.2,-4.6,20.7710797,1780.84,5.2,52,52,6.098767123,0.911538462
11/1/1996,96,1,11,260,376,1,376,26,-2,7,36,1,59,47.4,0.6,0.412767701,2246.76,11.6,116,116,7.694383562,0.50862069
27/10/1995,95,10,27,185,300,1,300,27,-1,0,38,1,57,43.8,-3,8.746983701,1918.44,13.2,115,115,6.57,0.495652174
28/10/1995,95,10,28,87,301,1,301,28,0,0,39,1,58.5,33,-13.8,189.2696317,1089,25.5,195,214,3.729452055,0.3
7/4/1996,96,4,7,301,463,1,463,28,0,0,39,1,70.6,58.5,11.7,137.8856017,3422.25,12.1,162,162,11.72003425,0.435802469
12/10/1995,95,10,12,93,285,1,285,28,0,0,40,2,65,35.8,-11,120.0674637,1281.64,29.2,192,192,4.389178082,0.338541667
4/12/1995,95,12,4,285,338,1,338,28,0,0,40,2,71,65,18.2,332.7877117,4225,6,53,53,14.46917808,1.339622642
3/8/1995,95,8,3,75,215,1,215,26,-2,0,42,2,46.5,21.2,-25.6,653.1873397,449.44,25.3,140,140,1.539178082,0.332142857
25/7/1995,95,7,25,130,206,1,206,26,-2,0,43,1,45.6,39,-7.8,60.1792717,1521,6.6,76,76,5.20890411,0.6
12/9/1995,95,9,12,206,255,1,255,26,-2,0,43,1,50.5,45.6,-1.2,1.339875701,2079.36,4.9,49,49,7.12109589,1.030612245
3/11/1995,95,11,3,255,307,1,307,28,0,0,43,1,57.5,50.5,3.7,14.0060817,2550.25,7,52,52,8.733732877,1.105769231
4/4/1996,96,4,4,402,460,1,460,28,0,0,47,2,82.3,73.5,26.7,715.1597017,5402.25,8.8,58,58,18.50085616,1.418965517
7/11/1995,95,11,7,98,311,1,311,28,0,0,48,2,61,33.2,-13.6,183.8066197,1102.24,27.8,213,213,3.774794521,0.286384977
24/7/1996,96,7,24,311,571,1,571,25,-3,0,48,2,90,61,14.2,202.8479517,3721,29,260,260,12.74315068,0.346153846
25/7/1995,95,7,25,102,206,1,206,26,-2,0,49,1,51.5,31.3,-15.5,238.9352337,979.69,20,104,104,3.398116438,0.495192308
11/9/1995,95,9,11,206,254,1,254,27,-1,0,49,1,58.8,51.5,4.7,22.4910217,2652.25,7.3,48,48,9.083047945,1.225
16/8/1995,95,8,16,187,228,1,228,26,-2,0,50,1,46,38,-8.8,76.6943317,1444,8,41,41,4.945205479,1.12195122
13/10/1995,95,10,13,228,286,1,286,28,0,0,50,1,51.8,46,-0.8,0.573851701,2116,5.8,58,58,7.246575342,0.893103448
25/9/1995,95,9,25,172,268,1,268,27,-1,0,51,2,42,27,-19.8,390.3599917,729,15,96,96,2.496575342,0.4375
2/11/1995,95,11,2,268,306,1,306,28,0,0,51,2,47.7,42,-4.8,22.6340917,1764,5.7,38,38,6.04109589,1.255263158
5/1/1996,96,1,5,306,370,1,370,27,-1,0,51,2,54.5,47.7,0.9,0.888249701,2275.29,6.8,63,64,7.792089041,0.865079365
8/4/1996,96,4,8,370,464,1,464,28,0,0,51,2,69.1,54.5,7.7,59.9458417,2970.25,14.6,94,94,10.17208904,0.735106383
3/8/1995,95,8,3,99,215,1,215,26,-2,0,52,1,41.3,27.6,-19.2,367.0109557,761.76,13.7,116,116,2.608767123,0.356034483
25/9/1995,95,9,25,215,268,1,268,27,-1,0,52,1,50,41.3,-5.5,29.7846337,1705.69,8.7,53,53,5.84140411,0.943396226
7/4/1996,96,4,7,268,463,1,463,28,0,0,52,1,70.5,50,3.2,10.5136117,2500,20.5,195,195,8.561643836,0.361538462
16/7/1995,95,7,16,132,197,1,197,26,-2,0,53,2,47,40.5,-6.3,39.1566817,1640.25,6.5,65,65,5.617294521,0.723076923
23/1/1996,96,1,23,164,388,1,388,28,0,0,54,2,70,39.7,-7.1,49.8087297,1576.09,30.3,224,224,5.397568493,0.3125
2/11/1995,95,11,2,125,306,1,306,28,0,0,56,2,57.7,33.2,-13.6,183.8066197,1102.24,24.5,181,181,3.774794521,0.31878453
23/7/1995,95,7,23,162,204,1,204,26,-2,1,58,2,8,6.5,-40.3,1620.668722,42.25,1.5,42,42,0.144691781,0.19047619
10/8/1995,95,8,10,204,222,1,222,26,-2,1,58,2,9.1,8,-38.8,1502.146132,64,1.1,18,18,0.219178082,0.505555556
4/9/1995,95,9,4,222,247,1,247,26,-2,1,58,2,10.4,9.1,-37.7,1418.089566,82.81,1.3,25,25,0.28359589,0.416
26/9/1995,95,9,26,247,269,1,269,28,0,1,58,2,11,10.4,-36.4,1321.869988,108.16,0.6,22,22,0.370410959,0.5
20/10/1995,95,10,20,269,293,1,293,27,-1,1,58,2,12.3,11,-35.8,1278.600952,121,1.3,24,24,0.414383562,0.5125
9/11/1995,95,11,9,293,313,1,313,28,0,1,58,2,13.6,12.3,-34.5,1187.321374,151.29,1.3,20,20,0.518116438,0.68
11/12/1995,95,12,11,313,345,1,345,28,0,1,58,2,15.8,13.6,-33.2,1099.421796,184.96,2.2,32,32,0.633424658,0.49375
2/1/1996,96,1,2,345,367,1,367,28,0,1,58,2,18.9,15.8,-31,958.3686637,249.64,3.1,22,22,0.854931507,0.859090909
21/7/1995,95,7,21,162,202,1,202,26,-2,1,59,1,8.7,6.6,-40.2,1612.627216,43.56,2.1,40,40,0.149178082,0.2175
11/8/1995,95,8,11,202,223,1,223,26,-2,1,59,1,10.4,8.7,-38.1,1448.37559,75.69,1.7,21,21,0.259212329,0.495238095
15/9/1995,95,9,15,223,258,1,258,28,0,1,59,1,11.3,10.4,-36.4,1321.869988,108.16,0.9,35,35,0.370410959,0.322857143
11/10/1995,95,10,11,258,284,1,284,28,0,1,59,1,12.1,11.3,-35.5,1257.236434,127.69,0.8,26,26,0.437294521,0.465384615
28/10/1995,95,10,28,284,301,1,301,28,0,1,59,1,14,12.1,-34.7,1201.144386,146.41,1.9,17,17,0.50140411,0.823529412
18/12/1995,95,12,18,301,352,1,352,28,0,1,59,1,20.4,14,-32.8,1073.055772,196,6.4,51,51,0.671232877,0.4
14/3/1996,96,3,14,352,439,1,439,28,0,1,59,1,32,20.4,-26.4,694.7193877,416.16,11.6,87,87,1.425205479,0.367816092
27/4/1996,96,4,27,439,483,1,483,28,0,1,59,1,35.7,32,-14.8,217.7846917,1024,3.7,44,44,3.506849315,0.811363636
22/7/1996,96,7,22,483,569,1,569,25,-3,5,59,1,42.2,35.7,-11.1,122.2689697,1274.49,6.5,86,86,4.364691781,0.490697674
23/7/1995,95,7,23,162,204,1,204,26,-2,1,60,1,10.8,6.4,-40.4,1628.730228,40.96,4.4,42,42,0.140273973,0.257142857
9/8/1995,95,8,9,204,221,1,221,26,-2,1,60,1,12.6,10.8,-36,1292.943964,116.64,1.8,17,17,0.399452055,0.741176471
6/9/1995,95,9,6,221,249,1,249,28,0,1,60,1,14.1,12.6,-34.2,1166.736856,158.76,1.5,28,28,0.54369863,0.503571429
5/10/1995,95,10,5,249,278,1,278,27,-1,1,60,1,15,14.1,-32.7,1066.514266,198.81,0.9,29,29,0.680856164,0.517241379
